	0
778	1143
779	1144
780	1145
781	1146
782	1147
783	1148
784	1149
785	1150
786	1151
787	1152
788	1153
789	1154
790	1155
791	1156
792	1157
793	1158
794	1159
795	1160
796	1161
797	1162
798	1163
799	1164
800	1165
801	1167
802	1168
803	1169
804	1170
805	1171
806	1172
807	1173
808	1174
809	1178
810	1182
811	1183
812	1184
813	1185
814	1188
815	1189
816	1191
817	1192
818	1193
819	1194
820	1195
821	1196
822	1197
823	1198
824	1200
825	1201
826	1202
827	1203
828	1204
829	1205
830	1206
831	1209
832	1210
833	1211
834	1212
835	1215
836	1216
837	1218
838	1220
839	1221
840	1246
841	1247
842	1248
843	1250
844	1251
845	1289
846	1291
847	1293
848	1294
849	1295
850	1296
851	1298
852	1299
853	1300
854	1301
855	1302
856	1303
857	1305
858	1306
859	1308
860	1311
861	1312
862	1313
863	1314
864	1315
865	1317
866	1318
867	1319
868	1320
869	1321
870	1322
871	1324
872	1325
873	1327
874	1328
875	1330
876	1331
877	1332
878	1333
879	1334
880	1335
881	1336
882	1338
883	1339
884	1340
885	1341
886	1343
887	1344
888	1345
889	1346
890	1347
891	1348
892	1349
893	1350
894	1352
895	1353
896	1355
897	1357
898	1367
899	1372
900	1376
901	1377
902	1378
903	1386
904	1393
905	1397
906	1402
907	1410
908	1411
909	1438
910	1480
911	1481
912	1482
913	1483
914	1484
915	1485
916	1486
917	1487
918	1488
919	1489
920	1490
921	1491
922	1509
923	1510
924	1511
925	1512
926	1513
927	1514
928	1515
929	1516
930	1517
931	1518
932	1519
933	1520
934	1521
935	1522
936	1523
937	1524
938	1525
939	1526
940	1527
941	1528
942	1529
943	1530
944	1531
945	1532
946	1533
947	1534
948	1535
949	1536
950	1537
951	1538
952	1539
953	1540
954	1541
955	1542
956	1543
957	1544
958	1545
959	1546
960	1547
961	1548
962	1549
963	1550
964	1551
965	1552
966	1553
967	1554
968	1555
969	1556
970	1557
971	1558
972	1559
973	1560
974	1561
975	1562
976	1563
977	1564
978	1565
979	1566
980	1567
981	1568
982	1569
983	1570
984	1571
985	1573
986	1574
987	1575
988	1576
989	1577
990	1578
991	1579
992	1580
993	1581
994	1582
995	1583
996	1584
997	1585
998	1586
999	1587
1000	1588
1001	1589
1002	1590
1003	1591
1004	1592
1005	1593
1006	1594
1007	1595
1008	1596
1009	1598
1010	1599
1011	1600
1012	1602
1013	1603
1014	1604
1015	1607
1016	1608
1017	1609
1018	1611
1019	1612
1020	1613
1021	1615
1022	1617
1023	1618
1024	1624
1025	1625
1026	1626
1027	1627
1028	1629
1029	1630
1030	1631
1031	1632
1032	1633
1033	1634
1034	1635
1035	1636
1036	1637
1037	1639
1038	1640
1039	1641
1040	1642
1041	1643
1042	1644
1043	1646
1044	1647
1045	1648
1046	1649
1047	1650
1048	1651
1049	1652
1050	1653
1051	1654
1052	1655
1053	1656
1054	1657
1055	1658
1056	1659
1057	1660
1058	1661
1059	1662
1060	1664
1061	1665
1062	1666
1063	1667
1064	1669
1065	1670
1066	1671
1067	1672
1068	1675
1069	1676
1070	1677
1071	1678
1072	1679
1073	1680
1074	1681
1075	1682
1076	1683
1077	1684
1078	1685
1079	1686
1080	1687
1081	1688
1082	1690
1083	1691
1084	1692
1085	1693
1086	1694
1087	1696
1088	1697
1089	1698
1090	1700
1091	1701
1092	1702
1093	1703
1094	1704
1095	1705
1096	1706
1097	1707
1098	1708
1099	1709
1100	1710
1101	1711
1102	1712
1103	1714
1104	1715
1105	1716
1106	1717
1107	1718
1108	1719
1109	1720
1110	1721
1111	1722
1112	1723
1113	1724
1114	1725
1115	1726
1116	1727
1117	1728
1118	1729
1119	1730
1120	1731
1121	1734
1122	1735
1123	1736
1124	1737
1125	1738
1126	1739
1127	1740
1128	1741
1129	1742
1130	1743
1131	1744
1132	1745
1133	1746
1134	1747
1135	1748
1136	1749
1137	1750
1138	1751
1139	1752
1140	1753
1141	1754
1142	1755
1143	1757
1144	1758
1145	1759
1146	1760
1147	1761
1148	1762
1149	1763
1150	1764
1151	1765
1152	1766
1153	1767
1154	1768
1155	1769
1156	1770
1157	1772
1158	1773
1159	1775
1160	1776
1161	1777
1162	1778
1163	1779
1164	1780
1165	1781
1166	1782
1167	1783
1168	1784
1169	1785
1170	1786
1171	1787
1172	1788
1173	1789
1174	1790
1175	1793
1176	1794
1177	1798
1178	1799
1179	1800
1180	1802
1181	1803
1182	1804
1183	1805
1184	1806
1185	1807
1186	1808
1187	1810
1188	1811
1189	1814
1190	1815
1191	1818
1192	1821
1193	1822
1194	1823
1195	1824
1196	1825
1197	1827
1198	1828
1199	1829
1200	1830
1201	1831
1202	1832
1203	1833
1204	1834
1205	1835
1206	1836
1207	1838
1208	1839
1209	1840
1210	1841
1211	1842
1212	1844
1213	1845
1214	1846
1215	1847
1216	1848
1217	1849
1218	1850
1219	1851
1220	1852
1221	1853
1222	1854
1223	1855
1224	1856
1225	1857
1226	1858
1227	1859
1228	1860
1229	1861
1230	1862
1231	1864
1232	1865
1233	1866
1234	1867
1235	1868
1236	1869
1237	1870
1238	1871
1239	1872
1240	1873
1241	1874
1242	1875
1243	1876
1244	1877
1245	1878
1246	1879
1247	1880
1248	1881
1249	1882
1250	1883
1251	1884
1252	1885
1253	1886
1254	1887
